"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C8","3","10uF","","","","ul_GRM188R61E106KA73D:CAP_GRM188_&plus_&slash_-0.2_MUR","GRM188R61E106KA73D"
"C3,C4,C5,C6,C7,C20,C22","7","1uF","","","","CAP_GCM188_MUR","GCM188R71E105KA64D"
"C9,C10,C11,C13,C15,C16,C17,C18,C19,C21,C23,C24,C25,C26,C27,C28,C29,C30","18","100nF","","","","CAP_CL10_SAM","CL10B104JB8NNNC"
"C12,C14","2","27pF","","","","GCM1885C2A270JA16D:CAPC1608X90N",""
"D1","1","IN-S85TATRGB","","","","IN-S85TATRGB:LEDSC70P200X125X110-4N",""
"J1","1","USB4110-GF-A","","","","USB4110-GF-A_GCT","USB4110-GF-A"
"J2","1","DEBUG","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J3,J5","2","Conn_01x20","","","","Connector_PinHeader_2.54mm:PinHeader_1x20_P2.54mm_Vertical","~"
"J4","1","Conn_01x12","","","","Connector_PinHeader_2.54mm:PinHeader_1x12_P2.54mm_Vertical","~"
"LED1,LED2","2","LTST-C170GKT","","","","LED_LTST-C170GKT_LTO","LTST-C170GKT"
"R1,R3","2","ERJ-3EKF5101V","","","","RC0603N_PAN","ERJ-3EKF5101V"
"R2,R18","2","330","","","","RC0603N_YAG","RC0603FR-07330RL"
"R4,R5,R6,R8,R9,R12,R13,R15,R16,R17","10","10k","","","","RC0603N_PAN","ERJ-3EKF1002V"
"R7,R14","2","1k","","","","RC0603N_YAG","RC0603FR-071KL"
"R10,R11","2","27","","","","RC0603N_YAG","RC0603FR-0727RL"
"R19,R20","2","33","","","","RC0603N_YAG","RC0603FR-0733RL"
"S1","1","RST","","","","ul_B3U-1000P:B3U-1000P",""
"S2","1","BOOT","","","","ul_B3U-1000P:B3U-1000P",""
"S3","1","USR","","","","ul_B3U-1000P:B3U-1000P",""
"U1","1","AP2112K-3.3TRG1","","","","SOT_RG1_DIO","AP2112K-3.3TRG1"
"U2","1","AP2112K-1.2TRG1","","","","SOT_RG1_DIO","AP2112K-3.3TRG1"
"U3","1","SC09147","","","","QFN56_7X7_RPI","SC09147"
"U4,U5","2","W25Q32JWSSIQ","","","","SOIC-8_5P28X5P28_WIN","W25Q32JVSSIQ"
"U6","1","ICE40UP5K-SG48I","","","","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","ICE40UP5K-SG48I"
"XTAL1","1","12MHZ","","","","XTAL_ABLS_ABR","ABLS-12.000MHZ-B4-T"
