Reference,Qty,Part Description,Digikey Catalog #,Manufacturer Part #,Footprint
0.1uF C1,1,CAP CER 0.1UF 50V X7R 0603,311-1779-1-ND,CC0603JRX7R9BB104,CAP_CC0603_YAG
1K R1,1,RES SMD 1K OHM 1% 1/10W 0603,311-1.00KHRCT-ND,RC0603FR-071KL,RC0603N_YAG
"1uF C1,1uF C2",2,CAP CER 1UF 25V X7R 0603,399-7376-1-ND,C0603C105K3RACTU,CAPC17595_95N_KEM
2M R1,1,RES SMD 2M OHM 1% 1/10W 0603,311-2.00MHRCT-ND,RC0603FR-072ML,RC0603N_YAG
3.01M R1,1,RES SMD 3.01M OHM 1% 1/10W 0603,311-3.01MHRCT-ND,RC0603FR-073M01L,RC0603N_YAG
10M R1,1,RES SMD 10M OHM 1% 1/10W 0603,311-10.0MHRCT-ND,RC0603FR-0710ML,RC0603N_YAG
"100K R1,100K R2,100K R3,100K R4",4,RES SMD 100K OHM 1% 1/10W 0603,311-100KHRCT-ND,RC0603FR-07100KL,RC0603N_YAG
J1,1,CONN PLUG USB 4POS RT ANG PCB,WM17117-ND,480370001,CONN_480370001_MOL
LED1,1,LED RED CLEAR 0805 SMD,160-1427-1-ND,LTST-C171KRKT,LED_LTST-C171_LTO
U1,1,IC REG LIN 3.3V 250MA SOT23A-3,MCP1702T-3302E/CBCT-ND,MCP1702T-3302E/CB,SOT-23A_MC_MCH
U2,1,IC OPAMP GP 10MHZ RRO 8TSSOP,MCP6022T-I/STCT-ND,MCP6022T-I/ST,TSSOP8_MC_MCH
